City,Latitude,Longitude,Country,Cloudiness,Humidity (%),Max Temp (F),Wind Speed (mph),Date
Namie,37.52,140.86,JP,75,83,88.0,5.82,1567820664
New Norfolk,-42.78,147.06,AU,100,81,48.0,5.99,1567820664
Vaini,15.34,74.49,IN,100,92,77.28,7.0,1567820664
Arraial do Cabo,-22.97,-42.02,BR,86,81,66.21,17.63,1567820664
Kaitangata,-46.28,169.85,NZ,91,53,52.0,8.99,1567820664
Hilo,19.71,-155.08,US,40,66,84.2,8.05,1567820370
Atar,20.52,-13.05,MR,60,43,90.0,0.56,1567820665
Kununurra,-15.77,128.74,AU,0,51,84.2,8.05,1567820665
Carutapera,-1.2,-46.02,BR,40,84,76.86,4.21,1567820665
Denpasar,-8.65,115.22,ID,40,83,78.8,11.41,1567820660
Darhan,49.49,105.92,MN,0,60,53.48,4.56,1567820665
Bredasdorp,-34.53,20.04,ZA,0,93,59.0,2.24,1567820665
Kedrovyy,56.17,91.82,RU,0,86,41.0,4.47,1567820666
Luderitz,-26.65,15.16,NA,0,93,53.6,9.17,1567820666
Dzilam Gonzalez,21.28,-88.93,MX,12,81,83.11,11.68,1567820666
Hithadhoo,-0.6,73.08,MV,67,75,83.36,14.12,1567820666
Foumban,5.73,10.9,CM,79,91,62.97,1.34,1567820666
Dudinka,69.41,86.18,RU,90,100,48.2,8.95,1567820667
Hermanus,-34.42,19.24,ZA,0,72,64.99,8.01,1567820418
San Quintin,17.54,120.52,PH,37,84,82.82,17.78,1567820667
Shelton,41.32,-73.09,US,90,72,63.0,14.99,1567820667
Kapaa,22.08,-159.32,US,75,55,89.6,9.17,1567820402
Lebu,8.96,38.73,ET,80,87,53.5,2.1,1567820667
Carnarvon,-30.97,22.13,ZA,0,40,54.06,13.18,1567820668
Aklavik,68.22,-135.01,CA,0,63,57.68,7.99,1567820668
Ahipara,-35.17,173.16,NZ,64,89,63.0,15.93,1567820668
Hobart,-42.88,147.33,AU,100,91,48.0,4.0,1567820418
Fortuna,40.6,-124.16,US,1,88,64.99,12.75,1567820668
Ust-Ishim,57.69,71.17,RU,42,80,51.38,9.51,1567820668
Nuevo Progreso,26.05,-97.95,US,1,70,89.01,6.93,1567820668
Anadyr,64.73,177.51,RU,40,71,51.8,11.18,1567820669
Oistins,13.07,-59.53,BB,20,88,78.8,4.7,1567820669
Cabo San Lucas,22.89,-109.91,MX,40,70,84.99,10.29,1567820553
Pisco,-13.71,-76.2,PE,0,82,60.8,13.87,1567820669
Hasaki,35.73,140.83,JP,75,70,87.8,2.24,1567820669
Port Alfred,-33.59,26.89,ZA,0,87,52.0,3.0,1567820670
Tuktoyaktuk,69.44,-133.03,CA,0,72,52.17,13.33,1567820670
Buraydah,26.33,43.97,SA,0,27,87.8,8.05,1567820670
Hopelchen,19.77,-89.85,MX,75,83,75.2,6.93,1567820670
Marsaxlokk,35.84,14.54,MT,20,83,75.2,10.29,1567820670
Solhan,38.97,41.05,TR,0,62,55.4,3.85,1567820670
Mayumba,-3.44,10.65,GA,100,86,73.97,8.7,1567820671
Saskylakh,71.97,114.09,RU,99,84,42.79,5.57,1567820671
Praia da Vitoria,38.73,-27.07,PT,75,68,69.8,14.67,1567820671
Partenit,44.58,34.34,UA,0,76,57.32,5.93,1567820671
Nikolskoye,59.7,30.79,RU,0,87,50.0,2.24,1567820672
Praia,-20.25,-43.81,BR,0,64,68.0,9.17,1567820672
Mataura,-46.19,168.86,NZ,64,73,50.0,8.01,1567820672
Kuytun,54.34,101.51,RU,98,87,42.52,8.88,1567820672
Albany,42.65,-73.75,US,1,93,63.0,5.82,1567820672
Atuona,-9.8,-139.03,PF,100,71,79.17,8.25,1567820672
Geraldton,49.72,-86.95,CA,90,100,53.6,2.24,1567820673
Samarai,-10.62,150.67,PG,29,59,76.9,11.86,1567820673
Suntar,62.16,117.65,RU,100,77,49.92,6.73,1567820673
Hofn,64.25,-15.21,IS,100,92,36.81,3.51,1567820673
Qaanaaq,77.48,-69.36,GL,0,63,24.75,7.29,1567820674
Cape Town,-33.93,18.42,ZA,0,87,64.99,4.7,1567820674
Mlyniv,50.51,25.61,UA,21,96,52.0,5.82,1567820674
Sampit,-2.54,112.95,ID,85,55,86.76,4.16,1567820674
Punta Arenas,-53.16,-70.91,CL,20,92,30.2,9.17,1567820674
Ilorin,8.5,4.55,NG,65,92,72.08,6.62,1567820674
Cherskiy,68.75,161.3,RU,93,57,43.4,7.99,1567820675
Constitucion,23.99,-104.67,MX,90,77,68.0,8.05,1567820675
Taga,-8.61,120.44,ID,8,47,86.82,6.22,1567820675
Teya,21.05,-89.07,MX,75,88,75.99,6.93,1567820675
Blankenberge,51.31,3.13,BE,20,72,61.0,11.41,1567820456
Rikitea,-23.12,-134.97,PF,0,62,65.33,31.72,1567820676
Padang,-0.92,100.36,ID,74,81,80.66,12.28,1567820627
Port Elizabeth,39.31,-74.98,US,90,82,64.0,16.11,1567820676
Walvis Bay,-22.95,14.51,NA,1,82,57.2,11.41,1567820676
Alvaraes,-3.22,-64.8,BR,96,83,75.5,1.05,1567820676
Antalaha,-14.9,50.28,MG,98,92,64.46,3.76,1567820676
Bethel,60.79,-161.76,US,90,87,55.4,12.75,1567820501
Clyde River,70.47,-68.59,CA,89,83,33.95,10.25,1567820677
Puerto Ayora,-0.74,-90.35,EC,35,89,68.0,4.0,1567820677
Pochutla,15.74,-96.47,MX,40,69,82.4,5.3,1567820677
Bluff,-23.58,149.07,AU,0,21,78.52,3.71,1567820677
Jennings,-28.93,151.93,AU,0,30,60.01,1.99,1567820678
Srednekolymsk,67.46,153.71,RU,76,52,47.06,6.02,1567820678
Barrow,-38.31,-60.23,AR,100,91,45.0,9.44,1567820678
Ishinomaki,38.42,141.3,JP,75,83,78.8,5.82,1567820678
Ushuaia,-54.81,-68.31,AR,0,69,35.6,4.7,1567820678
Ontario,34.07,-117.65,US,1,29,93.2,13.87,1567820623
Castro,-42.48,-73.76,CL,75,100,44.6,1.88,1567820679
Jamestown,-33.21,138.6,AU,100,64,51.5,16.11,1567820673
Yulara,-25.24,130.99,AU,0,20,66.2,16.11,1567820679
Bambous Virieux,-20.34,57.76,MU,40,94,71.01,2.24,1567820679
Whitehorse,60.72,-135.06,CA,0,50,54.24,0.47,1567820409
Andros,37.83,24.93,GR,0,46,73.99,17.22,1567820679
Butaritari,3.07,172.79,KI,12,68,84.89,8.03,1567820679
Cidreira,-30.17,-50.22,BR,91,90,60.79,14.74,1567820680
Lorengau,-2.02,147.27,PG,52,71,83.18,11.16,1567820680
Mpanda,-3.17,29.4,BI,29,48,64.28,3.78,1567820680
Poum,41.28,20.71,MK,40,82,60.8,6.93,1567820680
Longyearbyen,78.22,15.63,NO,40,69,33.8,4.7,1567820681
Enshi,30.29,109.48,CN,76,62,74.47,3.11,1567820681
Ribeira Grande,38.52,-28.7,PT,9,69,69.66,8.86,1567820681
Kodiak,39.95,-94.76,US,1,88,71.6,6.93,1567820681
Rio Gallegos,-51.62,-69.22,AR,0,92,30.2,3.36,1567820681
Seymchan,62.93,152.39,RU,100,80,41.04,6.93,1567820681
Khatanga,71.98,102.47,RU,77,82,48.3,10.38,1567820682
Touros,-5.2,-35.46,BR,20,83,73.4,8.05,1567820476
Victoria,5.28,115.24,BN,75,88,86.0,1.12,1567820487
Jaciara,-15.95,-54.98,BR,1,25,75.06,3.65,1567820682
Caravelas,-17.73,-39.27,BR,100,80,72.31,15.32,1567820682
Cayenne,4.94,-52.33,GF,0,88,78.8,3.36,1567820682
Rockland,45.55,-75.29,CA,100,90,61.0,1.99,1567820683
Souillac,45.6,-0.6,FR,0,82,55.99,3.36,1567820683
Sao Filipe,14.9,-24.5,CV,45,85,80.93,13.06,1567820683
Nouadhibou,20.93,-17.03,MR,0,73,73.4,14.99,1567820683
Lavrentiya,65.58,-170.99,RU,91,69,49.95,5.14,1567820683
Konstantinovka,46.85,29.85,UA,0,71,61.49,8.28,1567820684
Pangody,65.85,74.49,RU,96,76,56.29,10.49,1567820684
Saint-Omer,50.75,2.25,FR,0,93,60.01,11.52,1567820684
Zirovnice,49.25,15.19,CZ,100,100,55.0,6.93,1567820684
Chokurdakh,70.62,147.9,RU,99,82,44.28,1.34,1567820685
Male,50.74,33.7,UA,0,94,57.05,7.25,1567820685
Ponta do Sol,-20.63,-46.0,BR,72,87,63.26,8.57,1567820685
Berlevag,70.86,29.09,NO,100,89,46.46,29.1,1567820685
Busselton,-33.64,115.35,AU,52,60,59.0,1.86,1567820685
Gat,14.69,-16.54,SN,20,94,78.8,3.36,1567820686
Mar del Plata,-46.43,-67.52,AR,2,81,37.52,3.49,1567820552
Upernavik,72.79,-56.15,GL,0,64,36.13,11.65,1567820686
Benguela,-12.58,13.4,AO,20,91,69.83,10.96,1567820686
Yellowknife,62.45,-114.38,CA,18,66,51.01,13.0,1567820686
Norman Wells,65.28,-126.83,CA,5,87,50.87,4.72,1567820687
Kendari,-3.99,122.52,ID,11,51,86.94,6.69,1567820687
Henties Bay,-22.12,14.28,NA,0,86,57.0,4.0,1567820687
Marsa Matruh,31.35,27.25,EG,0,67,79.56,9.26,1567820687
Bom Jesus,-9.08,-44.36,BR,36,48,71.03,6.02,1567820687
Russell,38.9,-98.86,US,1,60,78.8,6.93,1567820687
Almaznyy,48.03,40.04,RU,20,55,64.4,13.42,1567820688
Avarua,-21.21,-159.78,CK,1,69,77.0,20.8,1567820577
Kamenka,48.03,28.7,MD,0,90,51.01,3.98,1567820688
Agirish,61.92,63.02,RU,0,75,51.11,4.54,1567820688
Salym,60.06,71.48,RU,27,78,49.67,4.32,1567820688
Severo-Kurilsk,50.68,156.12,RU,0,88,51.2,15.61,1567820689
Huarmey,-10.07,-78.15,PE,100,90,59.89,15.19,1567820689
Jutai,-1.71,-47.89,BR,78,95,73.28,3.09,1567820689
Fare,-16.7,-151.02,PF,54,74,74.0,22.46,1567820689
Kyaikto,17.31,97.01,MM,100,96,75.73,4.12,1567820689
Tasiilaq,65.61,-37.64,GL,100,75,41.0,34.45,1567820690
Simi,9.57,-12.35,SL,100,96,73.62,1.21,1567820690
Mehamn,71.03,27.85,NO,100,90,43.19,26.42,1567820690
Chuy,-33.69,-53.46,UY,100,97,54.6,13.11,1567820690
Belyy Yar,53.6,91.39,RU,0,87,50.0,2.24,1567820691
Monteprandone,42.92,13.83,IT,45,88,68.0,5.82,1567820691
Smirnykh,49.74,142.83,RU,48,64,70.13,7.11,1567820691
High Level,58.52,-117.13,CA,96,74,55.7,4.54,1567820691
Lompoc,34.64,-120.46,US,1,77,77.0,10.29,1567820476
Dire,9.18,38.92,ET,80,87,53.5,2.1,1567820692
Kudahuvadhoo,2.67,72.89,MV,1,72,83.52,9.24,1567820692
Thompson,55.74,-97.86,CA,40,81,50.0,3.36,1567820548
Koslan,63.46,48.9,RU,6,95,49.47,7.52,1567820692
Naryan-Mar,67.67,53.09,RU,100,89,51.27,16.82,1567820692
Havre-Saint-Pierre,50.23,-63.6,CA,1,72,43.38,3.76,1567820693
Katsuura,33.93,134.5,JP,75,79,87.01,12.75,1567820693
Dikson,73.51,80.55,RU,100,94,42.72,29.82,1567820693
Balingasay,16.36,119.86,PH,7,81,83.69,20.67,1567820693
Saint-Philippe,45.36,-73.48,CA,90,72,66.0,3.36,1567820693
Filadelfia,-22.35,-60.04,PY,100,41,82.23,9.04,1567820693
Tiksi,71.64,128.87,RU,100,79,40.2,9.15,1567820694
Rawson,-43.3,-65.11,AR,100,68,44.64,14.74,1567820694
East London,-33.02,27.91,ZA,0,86,49.09,5.88,1567820694
Isangel,-19.55,169.27,VU,40,54,78.8,9.17,1567820694
Kon Tum,14.36,108.0,VN,93,96,73.82,2.95,1567820695
Znamenskoye,57.13,73.82,RU,90,76,52.62,9.44,1567820695
Babushkin,51.72,105.86,RU,100,83,45.18,7.49,1567820695
Porto Empedocle,37.29,13.53,IT,0,67,64.99,4.0,1567820695
San Luis,-33.3,-66.34,AR,62,60,51.39,11.52,1567820695
Zhuhai,40.71,112.04,CN,0,43,71.6,4.47,1567820695
Magadan,59.56,150.8,RU,71,72,53.79,8.61,1567820696
Auki,12.18,6.51,NG,72,88,73.95,5.77,1567820696
Poya,-21.35,165.16,NC,0,66,70.24,8.79,1567820696
Tynda,55.15,124.74,RU,100,58,56.47,10.07,1567820696
Kutum,14.2,24.66,SD,99,58,75.35,6.8,1567820696
Abalak,15.46,6.28,NE,53,40,88.53,11.1,1567820697
Stykkisholmur,65.08,-22.73,IS,100,94,48.28,14.34,1567820697
Lafiagi,8.85,5.42,NG,96,96,72.96,4.59,1567820697
Kavieng,-2.57,150.8,PG,100,76,81.31,13.78,1567820697
Lerici,44.07,9.91,IT,0,82,64.0,4.7,1567820697
Puerto del Rosario,28.5,-13.86,ES,75,69,73.4,16.11,1567820698
Ilheus,-14.79,-39.05,BR,75,94,73.4,2.24,1567820698
La Ronge,55.1,-105.3,CA,8,83,46.88,3.47,1567820698
Fort Nelson,58.81,-122.69,CA,100,84,54.2,2.68,1567820698
Karpathos,35.51,27.21,GR,3,78,75.2,25.28,1567820698
Moerai,-22.43,-151.33,PF,0,68,67.59,18.1,1567820699
Georgetown,6.8,-58.16,GY,20,78,82.4,6.93,1567820400
West Odessa,31.84,-102.48,US,1,27,91.4,6.93,1567820699
Bridlington,54.08,-0.19,GB,18,87,55.0,5.82,1567820699
Umm Lajj,25.02,37.27,SA,4,73,84.62,11.88,1567820699
Paramonga,-10.68,-77.82,PE,98,93,58.13,11.48,1567820699
Tangwani,28.28,69.0,PK,65,79,87.8,7.47,1567820700
Yaan,7.38,8.57,NG,63,92,74.2,4.88,1567820700
Darnah,32.77,22.64,LY,0,77,78.84,12.28,1567820412
Broome,52.47,1.45,GB,0,93,52.0,6.93,1567820700
Taoudenni,22.68,-3.98,ML,11,29,90.87,15.9,1567820700
Boa Vista,2.82,-60.67,BR,0,69,82.4,2.24,1567820654
Saint George,39.45,22.34,GR,20,72,66.2,0.67,1567820701
Juneau,58.3,-134.42,US,1,40,69.8,3.36,1567820701
Bereda,43.27,-7.54,ES,0,72,60.8,1.12,1567820701
Beyneu,45.32,55.19,KZ,15,32,63.78,4.45,1567820701
Chegdomyn,51.13,133.04,RU,97,73,70.4,3.36,1567820701
Pucallpa,-8.38,-74.54,PE,40,94,77.0,3.36,1567820701
Tromso,69.65,18.96,NO,90,81,46.4,20.8,1567820702
Talnakh,69.49,88.39,RU,90,100,48.2,8.95,1567820702
Kibala,9.11,18.35,TD,20,94,75.2,4.61,1567820702
Kintampo,8.05,-1.73,GH,100,97,71.86,8.23,1567820702
Deputatskiy,69.3,139.9,RU,100,87,39.12,4.76,1567820702
Brokopondo,5.06,-54.98,SR,20,78,80.6,5.82,1567820703
Wufeng,27.44,104.87,CN,68,87,68.48,4.32,1567820703
Grindavik,63.84,-22.43,IS,90,87,51.8,23.04,1567820703
Kailua,21.39,-157.74,US,20,66,89.6,16.11,1567820704
Pekalongan,-6.89,109.67,ID,65,36,89.3,3.02,1567820704
Tateyama,36.66,137.31,JP,40,49,95.0,11.41,1567820704
Chulumani,-16.41,-67.53,BO,100,87,37.8,3.96,1567820704
Matara,-3.48,29.48,BI,27,63,52.71,1.52,1567820705
Turayf,31.68,38.65,SA,0,64,69.8,9.17,1567820705
Hovd,63.83,10.7,NO,90,100,48.99,3.36,1567820705
Santa Rosa,-36.62,-64.29,AR,20,95,40.43,7.27,1567820705
Baruun-Urt,46.68,113.28,MN,97,73,64.48,9.53,1567820706
Morondava,-20.3,44.28,MG,0,66,72.92,22.06,1567820706
Revelstoke,50.99,-118.19,CA,0,69,56.45,0.45,1567820706
Beidao,34.57,105.89,CN,74,63,70.29,5.97,1567820706
Port Hardy,50.7,-127.42,CA,88,84,60.92,9.51,1567820706
Leningradskiy,69.38,178.42,RU,32,79,44.93,5.7,1567820707
Winnemucca,40.97,-117.74,US,1,18,84.2,14.99,1567820707
Isabela,10.2,122.99,PH,29,74,84.41,13.69,1567820707
Eureka,40.8,-124.16,US,90,87,66.99,9.17,1567820707
Airai,-8.93,125.41,TL,0,52,81.62,7.18,1567820708
Mandeville,30.36,-90.07,US,1,88,91.4,3.29,1567820708
Manicore,-5.81,-61.3,BR,100,96,73.21,2.37,1567820708
Abu Kamal,34.45,40.92,SY,0,71,71.27,13.67,1567820708
Moses Lake,47.13,-119.28,US,1,39,84.0,8.05,1567820706
Tura,64.27,100.22,RU,0,62,54.44,5.14,1567820708
Jumla,29.28,82.18,NP,58,83,60.95,3.31,1567820709
Sitka,37.17,-99.65,US,0,63,82.0,7.0,1567820709
Quelimane,-17.88,36.89,MZ,75,83,69.8,13.87,1567820709
Sheltozero,61.37,35.37,RU,8,94,49.99,8.63,1567820709
Arman,59.7,150.17,RU,43,60,54.15,4.23,1567820710
Makakilo City,21.35,-158.09,US,40,52,89.6,13.87,1567820710
Saint-Augustin,45.63,-73.98,CA,100,73,64.99,7.36,1567820710
Mahebourg,-20.41,57.7,MU,40,94,71.01,2.24,1567820710
Mae Ramat,16.98,98.52,TH,90,100,75.2,4.7,1567820710
Sakaraha,-22.91,44.53,MG,94,71,59.42,18.19,1567820711
Meulaboh,4.14,96.13,ID,36,79,82.19,10.92,1567820711
Belaya Kholunitsa,58.84,50.85,RU,0,94,48.23,4.23,1567820711
Moose Factory,51.26,-80.61,CA,100,80,42.02,8.23,1567820711
Bar Harbor,44.39,-68.2,US,1,81,55.99,5.82,1567820561
Ewa Beach,21.32,-158.01,US,40,52,89.6,13.87,1567820647
Mazatlan,23.22,-106.42,MX,75,70,88.0,8.05,1567820712
Ujhani,28.0,79.01,IN,29,71,86.24,8.1,1567820712
Paracuru,-3.41,-39.03,BR,75,69,80.6,14.99,1567820712
Vila Franca do Campo,37.72,-25.43,PT,75,72,68.0,5.82,1567820712
Tuatapere,-46.13,167.69,NZ,75,73,50.0,8.01,1567820713
Jalu,29.03,21.55,LY,0,56,74.97,5.26,1567820713
Preobrazheniye,42.9,133.91,RU,100,98,68.44,1.9,1567820713
Hidalgo,26.1,-98.26,US,1,70,89.01,6.93,1567820713
Salalah,17.01,54.1,OM,90,100,78.8,3.36,1567820713
Beringovskiy,63.05,179.32,RU,17,67,51.36,5.75,1567820714
Tazovskiy,67.47,78.7,RU,60,88,49.4,8.19,1567820714
Twentynine Palms,34.14,-116.05,US,1,9,118.4,11.41,1567820714
Muli,28.08,109.56,CN,58,56,82.52,4.56,1567820714
Gaoua,10.33,-3.18,BF,88,95,72.54,3.36,1567820714
Aksu,52.04,76.93,KZ,31,93,42.8,5.23,1567820715
Fukue,35.03,136.69,JP,75,66,93.99,17.22,1567820715
Loreto,-23.27,-57.32,PY,70,47,76.95,4.14,1567820715
Kem,2.68,33.77,UG,93,96,66.55,2.35,1567820715
Marzuq,14.4,46.47,YE,95,28,77.4,3.71,1567820715
Aloleng,16.13,119.78,PH,69,82,83.74,20.6,1567820715
Parana,-7.52,-72.89,BR,69,93,71.23,1.86,1567820716
Palmer,-34.85,139.16,AU,75,71,55.99,14.99,1567820716
Svetlogorsk,53.14,59.15,RU,40,100,44.6,6.71,1567820716
Takaka,-40.86,172.81,NZ,0,71,59.0,8.01,1567820716
Pevek,69.7,170.27,RU,100,88,38.99,9.78,1567820716
Lyubinskiy,55.15,72.69,RU,40,93,51.8,11.18,1567820717
Kumluca,36.37,30.29,TR,0,68,60.59,6.31,1567820717
Valday,57.98,33.25,RU,6,96,47.56,2.59,1567820717
Contamana,-7.35,-75.01,PE,20,86,73.35,2.71,1567820717
Guarapari,-20.67,-40.5,BR,90,82,68.0,6.93,1567820717
Bryukhovetskaya,45.8,39.0,RU,34,85,63.49,8.32,1567820718
Sile,35.56,-106.37,US,40,25,91.4,23.29,1567820718
Trincomalee,8.58,81.23,LK,90,62,84.32,11.03,1567820718
Flin Flon,54.77,-101.88,CA,0,78,45.72,2.73,1567820718
Namatanai,-3.66,152.44,PG,100,80,78.02,19.44,1567820718
Kasulu,-4.57,30.11,TZ,42,51,67.74,10.69,1567820719
Ilulissat,69.22,-51.1,GL,81,69,35.6,2.24,1567820719
Hambantota,6.12,81.12,LK,40,100,78.8,9.17,1567820719
Eisiskes,54.17,25.0,LT,0,87,50.0,1.12,1567820719
