City,Latitude,Longitude,Country,Cloudiness,Humidity (%),Max Temp (F),Wind Speed (mph),Date
Ballina,54.11,-9.15,IE,87,93,54.0,1.01,1567820719
Carballo,43.21,-8.69,ES,0,72,63.0,1.12,1567820720
Lagoa,37.14,-8.45,PT,0,57,75.2,3.36,1567820720
Flinders,-34.58,150.85,AU,0,48,64.0,33.33,1567820720
Mandan,46.83,-100.89,US,1,68,69.8,8.05,1567820720
Kaeo,-35.1,173.78,NZ,5,89,63.0,11.9,1567820720
Kolpashevo,58.31,82.9,RU,0,72,54.27,6.2,1567820721
Antsohihy,-14.88,47.99,MG,0,70,72.35,14.47,1567820721
Danville,37.82,-122.0,US,1,68,80.6,11.41,1567820721
Ulaangom,49.98,92.07,MN,72,36,60.95,5.53,1567820721
Srivardhan,18.03,73.02,IN,100,91,78.66,17.81,1567820721
Robore,-18.33,-59.76,BO,45,39,79.2,4.97,1567820722
Siddipet,18.1,78.85,IN,100,95,71.21,16.06,1567820722
Lensk,60.71,114.91,RU,0,69,54.17,4.92,1567820722
Port Hedland,-20.31,118.58,AU,40,64,73.4,8.05,1567820722
Gilgit,35.92,74.31,PK,1,42,50.4,7.49,1567820665
Machakos,-1.52,37.27,KE,75,88,62.6,2.24,1567820722
Quatre Cocos,-20.21,57.76,MU,40,94,71.01,2.24,1567820723
Broken Hill,-31.97,141.45,AU,40,46,53.6,19.46,1567820723
Comodoro Rivadavia,-45.87,-67.48,AR,0,86,37.4,3.36,1567820723
Linxia,35.6,103.21,CN,5,54,68.49,5.21,1567820723
Varnamo,57.19,14.04,SE,100,87,52.0,8.05,1567820723
Pauini,-7.71,-67.0,BR,33,63,78.32,0.6,1567820724
Pekan,3.49,103.39,MY,75,88,80.6,2.24,1567820724
Lukaya,-0.15,31.87,UG,20,94,69.8,3.36,1567820724
Lyubech,51.7,30.66,UA,27,80,53.82,2.53,1567820724
Oga,46.46,10.35,IT,90,100,46.4,5.08,1567820724
Rocha,-34.48,-54.34,UY,100,97,53.63,8.39,1567820724
Faanui,-16.48,-151.75,PF,3,72,75.08,21.07,1567820725
Nyurba,63.29,118.35,RU,100,87,48.89,7.54,1567820725
Karratha,-20.74,116.85,AU,0,26,79.89,7.72,1567820725
Chernyshevskiy,63.01,112.47,RU,100,74,47.67,6.38,1567820725
Bilgi,38.1,43.26,TR,0,58,55.4,4.7,1567820725
San Patricio,-26.98,-56.83,PY,0,71,71.97,9.13,1567820725
Coihaique,-45.58,-72.07,CL,0,65,41.0,5.82,1567820726
Hami,42.84,93.51,CN,52,17,80.52,6.02,1567820726
Nemuro,43.32,145.57,JP,75,78,71.6,9.17,1567820726
Pangnirtung,66.15,-65.72,CA,0,65,33.18,3.67,1567820726
Narsaq,60.91,-46.05,GL,100,94,51.8,9.17,1567820727
San Jose,14.25,-87.96,HN,90,65,78.8,8.05,1567820727
Tornio,61.12,27.27,FI,20,93,46.4,1.12,1567820727
Wajima,37.4,136.9,JP,75,66,84.2,1.12,1567820727
Olinda,-37.84,145.39,AU,40,71,54.0,24.16,1567820727
Maceio,-9.67,-35.74,BR,40,83,73.4,5.82,1567820619
Saint-Joseph,43.56,6.97,FR,0,93,64.4,4.7,1567820728
Alofi,-19.06,-169.92,NU,37,69,78.8,12.75,1567820728
Chapais,49.78,-74.86,CA,100,75,44.0,6.64,1567820728
Plettenberg Bay,-34.05,23.37,ZA,0,40,57.59,6.26,1567820728
Te Anau,-45.41,167.72,NZ,62,77,40.41,1.3,1567820729
Talwara,31.94,75.88,IN,0,72,85.05,7.27,1567820729
Lahad Datu,5.02,118.33,MY,23,62,87.45,4.63,1567820729
Kokkola,63.84,23.13,FI,33,93,54.0,4.7,1567820729
Port Hawkesbury,45.62,-61.36,CA,100,81,59.0,8.23,1567820595
Anito,12.45,125.29,PH,85,55,90.72,6.98,1567820729
Ibra,22.69,58.55,OM,100,35,86.08,1.97,1567820730
Miles City,46.41,-105.84,US,90,39,78.8,3.36,1567820730
Tatarsk,55.22,75.96,RU,37,87,53.36,13.6,1567820730
Cross Lanes,50.05,-5.22,GB,33,93,55.0,4.7,1567820730
Banda Aceh,5.56,95.32,ID,67,78,82.64,21.45,1567820730
Minsk,53.9,27.56,BY,0,100,48.2,2.24,1567820730
Torbay,47.66,-52.73,CA,100,84,55.99,3.0,1567820731
Cockburn Town,21.46,-71.14,TC,2,80,83.34,13.6,1567820731
Araria,26.13,87.47,IN,0,65,88.74,12.15,1567820731
Pacific Grove,36.62,-121.92,US,1,53,80.01,8.05,1567820682
Maltahohe,-24.83,16.98,NA,0,30,54.45,10.6,1567820731
Prince Rupert,54.32,-130.32,CA,100,77,59.19,2.89,1567820731
Iqaluit,63.75,-68.52,CA,94,75,44.01,8.01,1567820732
Vostok,46.45,135.83,RU,100,81,71.37,2.46,1567820732
Rabo de Peixe,37.8,-25.58,PT,75,72,68.0,5.82,1567820732
Paraiso,-0.03,-51.17,BR,40,83,84.2,12.75,1567820732
Tokur,53.13,132.9,RU,76,93,60.63,3.96,1567820732
Kotma,23.2,81.98,IN,0,76,82.79,5.23,1567820733
Ancud,-41.87,-73.83,CL,75,100,44.6,5.08,1567820733
Bowen,-20.01,148.25,AU,0,17,86.0,12.75,1567820733
Saint-Francois,46.42,3.91,FR,0,75,46.4,2.37,1567820733
Paamiut,61.99,-49.67,GL,100,92,43.13,9.13,1567820734
Biak,-0.91,122.88,ID,100,86,68.55,4.5,1567820734
Avera,33.19,-82.53,US,1,78,80.6,5.03,1567820734
Inza,53.86,46.36,RU,5,89,51.12,1.99,1567820734
Bogande,12.97,-0.14,BF,39,73,79.85,10.63,1567820734
Ikot Ekpene,5.18,7.71,NG,100,97,72.22,1.45,1567820735
Rundu,-17.91,19.77,NA,6,20,77.0,13.87,1567820735
Mangan,27.5,88.54,IN,100,77,65.61,2.33,1567820735
Oranjestad,12.52,-70.03,AW,0,85,82.57,19.35,1567820469
Margate,-43.03,147.26,AU,100,55,48.0,3.0,1567820735
Mandalgovi,45.76,106.27,MN,0,57,55.41,14.99,1567820736
Tortoli,39.93,9.66,IT,5,45,66.2,20.8,1567820736
Alugan,12.22,125.48,PH,85,55,90.72,6.98,1567820736
Navahrudak,53.59,25.82,BY,65,90,49.72,4.54,1567820736
Tucurui,-3.77,-49.67,BR,66,77,76.32,2.35,1567820736
Hualmay,-11.1,-77.61,PE,72,89,59.67,13.18,1567820737
Cap Malheureux,-19.98,57.61,MU,40,94,71.01,2.24,1567820737
Pacasmayo,-7.4,-79.57,PE,54,90,61.4,16.82,1567820737
Piacabucu,-10.41,-36.43,BR,17,86,73.46,11.59,1567820737
Kruisfontein,-34.0,24.73,ZA,5,68,52.4,7.31,1567820737
Ushtobe,45.25,77.98,KZ,0,44,64.86,15.79,1567820737
Ternate,14.29,120.72,PH,40,74,88.0,12.75,1567820738
Nuuk,64.17,-51.74,GL,98,93,42.8,1.12,1567820738
Dunedin,-45.87,170.5,NZ,79,58,48.99,15.99,1567820738
Port Blair,11.67,92.75,IN,75,88,80.6,11.41,1567820729
Yuli,24.82,106.77,CN,37,78,82.05,1.81,1567820738
Yeppoon,-23.13,150.74,AU,12,18,80.6,6.93,1567820739
Emerald,-23.53,148.16,AU,0,15,75.0,13.87,1567820524
Durusu,37.53,40.83,TR,0,52,73.0,3.36,1567820739
Damietta,31.42,31.81,EG,0,69,77.37,4.54,1567820739
Sorland,67.67,12.69,NO,92,71,48.87,8.08,1567820740
Valparaiso,41.47,-87.06,US,90,93,68.0,13.87,1567820740
Baoqing,46.32,132.2,CN,100,80,75.68,5.86,1567820740
Okhotsk,59.36,143.24,RU,100,35,60.83,2.19,1567820740
Burnie,-41.05,145.91,AU,89,51,54.0,7.0,1567820740
Iracoubo,5.48,-53.21,GF,5,89,77.44,5.5,1567820741
Provideniya,64.42,-173.23,RU,85,67,50.06,8.03,1567820741
Ozernovskiy,51.5,156.52,RU,95,95,49.77,7.47,1567820741
Escanaba,45.75,-87.06,US,1,93,59.0,1.86,1567820741
Oranjemund,-28.55,16.43,ZA,0,44,68.49,9.62,1567820742
Machado,-21.69,-45.92,BR,25,89,57.89,8.14,1567820742
Vestmannaeyjar,63.44,-20.27,IS,100,92,50.78,26.93,1567820742
Gornopravdinsk,60.06,69.92,RU,12,79,50.49,3.89,1567820742
Nanortalik,60.14,-45.24,GL,100,82,44.73,8.1,1567820742
Vila Velha,-3.71,-38.6,BR,75,69,80.6,14.99,1567820743
Oytal,42.91,73.27,KZ,0,31,59.85,3.58,1567820743
Jackville,5.21,-4.42,CI,75,94,77.0,10.29,1567820743
Pedernales,0.07,-80.05,EC,74,82,71.97,13.49,1567820743
Lamar,38.09,-102.62,US,1,28,86.0,9.17,1567820744
Constantine,36.36,6.61,DZ,20,87,60.8,3.36,1567820744
Jiangyou,31.78,104.73,CN,70,73,71.72,3.65,1567820744
Zhangye,38.94,100.46,CN,100,43,70.06,4.47,1567820744
Arroyo,-11.08,-66.08,BO,65,57,78.03,1.41,1567820744
Tiznit,29.7,-9.73,MA,99,90,69.02,5.64,1567820744
Namibe,-15.19,12.15,AO,92,92,66.5,9.42,1567820745
Mount Gambier,-37.83,140.78,AU,90,66,51.8,19.46,1567820745
Chara,39.42,22.43,GR,20,72,66.2,0.67,1567820745
Yoichi,43.19,140.77,JP,75,78,80.01,9.17,1567820745
Bundaberg,-24.87,152.35,AU,0,14,79.0,11.41,1567820745
Ciudad Bolivar,8.12,-63.55,VE,100,79,79.15,4.14,1567820746
Taltal,-25.41,-70.49,CL,47,89,48.01,2.19,1567820746
Aksarka,66.56,67.8,RU,43,79,55.61,11.68,1567820746
Kasama,-10.21,31.19,ZM,0,71,55.77,7.87,1567820746
Arlit,18.74,7.39,NE,20,29,93.82,2.53,1567820746
Kupino,54.36,77.31,RU,41,79,55.79,12.12,1567820747
Morant Bay,17.88,-76.41,JM,20,70,84.2,3.36,1567820570
Shimoda,34.7,138.93,JP,75,88,84.2,12.75,1567820747
Itacarambi,-15.1,-44.09,BR,0,81,66.69,11.39,1567820747
Otane,-39.89,176.62,NZ,100,56,52.69,9.78,1567820747
Bathsheba,13.22,-59.52,BB,20,88,78.8,4.7,1567820638
Waipawa,-39.94,176.59,NZ,100,56,52.69,9.78,1567820747
Xining,36.62,101.77,CN,69,49,75.0,5.88,1567820748
Huntingdon,52.33,-0.18,GB,20,100,52.0,5.82,1567820748
Murgab,37.5,61.97,TM,0,44,57.2,4.7,1567820748
Dharchula,29.85,80.53,IN,14,86,60.02,4.36,1567820748
Tahoua,14.89,5.26,NE,46,47,86.8,11.01,1567820749
Berezovyy,51.67,135.7,RU,14,44,76.77,7.36,1567820749
Esso,55.93,158.7,RU,76,72,49.04,8.88,1567820749
Vetlanda,57.43,15.09,SE,100,87,52.0,8.05,1567820749
Faya,18.39,42.45,SA,0,32,71.6,5.3,1567820749
Vallenar,-28.58,-70.76,CL,75,90,42.11,0.2,1567820750
Coquimbo,-29.95,-71.34,CL,0,87,53.6,5.82,1567820750
Kisangani,0.52,25.21,CD,96,97,68.91,1.66,1567820750
Sao Joao da Barra,-21.64,-41.05,BR,100,86,64.26,4.12,1567820750
Esperance,-33.86,121.89,AU,0,44,60.8,8.05,1567820750
Palu,-0.9,119.87,ID,4,68,85.22,6.29,1567820751
Vardo,39.62,-77.74,US,40,82,69.01,3.89,1567820751
George,-15.35,34.83,MW,98,90,58.88,10.22,1567820751
Teguise,29.06,-13.56,ES,90,73,73.4,8.05,1567820751
San Vicente,-0.59,-80.41,EC,0,77,69.8,10.29,1567820751
Kulhudhuffushi,6.62,73.07,MV,99,80,82.28,14.14,1567820751
Halifax,44.65,-63.58,CA,100,69,63.0,5.23,1567820501
Uray,60.13,64.8,RU,70,77,52.92,2.3,1567820752
Belvedere Marittimo,39.62,15.86,IT,0,76,69.01,1.01,1567820752
Leshukonskoye,64.9,45.76,RU,91,90,54.49,7.9,1567820752
Uvinza,-5.1,30.39,TZ,100,28,76.54,11.65,1567820752
Sesheke,-17.47,24.29,NA,0,22,69.8,16.11,1567820753
Nizhyn,51.05,31.88,UA,0,91,55.71,5.35,1567820753
Tira Sujanpur,31.83,76.5,IN,0,77,76.09,1.45,1567820753
Aykhal,65.95,111.51,RU,90,76,48.2,13.42,1567820753
Jeffersontown,38.19,-85.56,US,40,73,80.6,12.75,1567820753
Tugulym,57.06,64.64,RU,2,100,48.0,4.47,1567820754
Tatarbunary,45.84,29.62,UA,4,71,63.04,8.97,1567820754
Inirida,3.87,-67.92,CO,59,93,73.26,0.6,1567820754
Tomatlan,19.93,-105.25,MX,100,80,82.44,7.92,1567820754
Havelock,34.88,-76.9,US,20,83,75.2,4.7,1567820754
Yerbogachen,61.28,108.01,RU,71,60,53.66,5.26,1567820754
Port Moresby,-9.47,147.16,PG,40,58,84.2,11.41,1567820755
Sarakhs,36.54,61.16,TM,0,34,64.4,2.93,1567820755
Road Town,18.42,-64.62,VG,20,78,82.4,3.36,1567820755
Makamba,-4.13,29.8,BI,16,50,70.2,2.91,1567820755
Kijang,35.24,129.21,KR,75,78,82.4,27.51,1567820755
Lasa,34.92,32.53,CY,75,78,77.0,3.36,1567820756
Acajutla,13.59,-89.83,SV,17,76,83.79,9.19,1567820756
Fairbanks,64.84,-147.72,US,1,42,64.99,3.36,1567820596
Victoria,5.28,115.24,BN,75,88,86.0,1.12,1567820487
Vanimo,-2.67,141.3,PG,93,70,81.51,4.7,1567820756
Makubetsu,42.84,143.34,JP,75,82,68.0,2.24,1567820756
Arkhangelsk,64.54,40.54,RU,20,93,53.6,6.71,1567820757
Husavik,50.56,-96.99,CA,28,71,60.01,7.0,1567820757
Tabas,33.6,56.92,IR,0,23,77.0,2.24,1567820757
Soe,57.91,26.05,EE,5,93,50.0,2.24,1567820757
Baherden,38.44,57.43,TM,0,29,65.36,4.23,1567820757
Tual,-5.67,132.75,ID,85,86,76.67,17.27,1567820758
Sao Felix do Xingu,-6.64,-51.99,BR,5,89,70.76,0.69,1567820666
Hervey Bay,-25.3,152.85,AU,0,14,79.0,11.41,1567820758
Adrar,27.87,-0.29,DZ,40,33,86.0,12.75,1567820758
Hamilton,43.26,-79.87,CA,100,81,64.0,5.08,1567820487
Kahului,20.89,-156.47,US,40,43,91.4,28.86,1567820501
Igatpuri,19.7,73.57,IN,100,97,73.03,8.39,1567820759
Puerto Colombia,10.99,-74.96,CO,20,88,82.4,11.41,1567820759
Nizhniy Kuranakh,58.84,125.49,RU,72,76,54.63,3.74,1567820759
Palana,59.08,159.95,RU,99,92,50.08,14.14,1567820759
Douglas,58.28,-134.39,US,1,40,69.8,3.36,1567820759
Kuvandyk,51.48,57.35,RU,100,82,49.65,3.65,1567820759
Puri,-7.54,112.45,ID,72,40,88.78,10.27,1567820760
Crystal Beach,42.87,-79.06,CA,90,82,63.0,3.36,1567820760
Mirnyy,56.57,36.46,RU,29,96,52.08,4.09,1567820760
Vao,59.1,26.19,EE,98,92,47.52,6.26,1567820760
Naze,5.43,7.07,NG,100,98,71.5,1.05,1567820760
Madang,35.32,102.79,CN,44,70,54.74,3.65,1567820761
Thibodaux,29.8,-90.82,US,1,79,89.6,3.09,1567820761
Westport,41.14,-73.36,US,90,72,63.0,14.99,1567820761
Axim,4.87,-2.24,GH,100,92,76.04,7.99,1567820761
Buchanan,5.88,-10.05,LR,100,89,77.82,11.61,1567820761
Steinkjer,64.02,11.49,NO,90,100,48.0,3.36,1567820762
Jinhua,29.11,119.65,CN,26,66,84.24,6.73,1567820678
Oroville,39.51,-121.56,US,1,24,91.4,8.05,1567820762
Jablah,35.36,35.93,SY,40,73,77.0,6.93,1567820525
Imbituba,-28.24,-48.67,BR,75,93,62.6,8.05,1567820762
Princeton,38.36,-87.57,US,1,73,75.2,9.17,1567820762
Kupang,-10.16,123.6,ID,20,42,86.0,8.05,1567820726
Kinsale,51.71,-8.52,IE,75,87,51.8,3.36,1567820577
Alta Floresta,-9.87,-56.08,BR,25,51,76.95,0.51,1567820763
Breyten,-26.3,29.99,ZA,1,97,40.47,4.94,1567820763
Marienburg,52.12,9.98,DE,75,62,60.8,9.17,1567820763
Rawlins,41.79,-107.24,US,1,48,69.8,11.41,1567820764
Asadabad,34.78,48.12,IR,0,34,53.6,4.7,1567820764
Fethiye,36.62,29.12,TR,0,83,71.6,2.24,1567820764
Tezpur,26.62,92.79,IN,100,75,85.0,5.17,1567820764
Tigil,57.8,158.67,RU,83,78,57.64,8.34,1567820764
Galle,10.08,-12.83,GN,100,98,70.85,2.13,1567820765
Kalaleh,37.38,55.49,IR,0,64,68.0,2.24,1567820765
Tanabe,33.73,135.39,JP,75,66,87.8,13.87,1567820765
Muscat,23.6,58.55,OM,0,84,87.8,10.29,1567820765
Mogadishu,2.04,45.34,SO,40,69,78.8,18.34,1567820765
Diego de Almagro,-26.39,-70.05,CL,55,89,42.92,0.67,1567820765
Altay,47.83,88.13,CN,62,42,54.76,1.92,1567820766
Kargil,34.56,76.13,PK,33,43,48.3,4.9,1567820766
Gisors,49.28,1.78,FR,90,82,59.0,5.82,1567820649
North Platte,41.12,-100.77,US,1,77,66.99,8.05,1567820683
Kez,57.9,53.72,RU,0,88,47.09,1.61,1567820766
Kwakoa,-3.77,37.72,TZ,3,84,64.59,6.4,1567820767
Gimli,50.63,-96.99,CA,17,71,60.01,7.0,1567820581
Bara,10.41,10.6,NG,100,91,73.32,2.17,1567820767
Alihe,50.57,123.73,CN,100,83,67.31,3.42,1567820767
Beloha,-25.17,45.06,MG,100,67,59.73,20.56,1567820767
Guerrero Negro,27.97,-114.04,MX,16,83,71.79,17.56,1567820767
Nacogdoches,31.6,-94.66,US,1,69,87.8,1.81,1567820768
Oktyabrskoye,56.73,85.44,RU,0,93,50.0,6.71,1567820768
Egvekinot,66.32,-179.17,RU,100,52,50.35,1.63,1567820768
Nhulunbuy,-12.18,136.78,AU,0,57,80.6,13.87,1567820768
Breclav,48.76,16.88,CZ,90,93,60.01,5.82,1567820768
Rojhan,28.69,69.95,PK,18,39,93.15,3.83,1567820769
Portland,43.66,-70.25,US,90,67,60.01,8.05,1567820651
Cumana,10.46,-64.17,VE,12,81,82.23,6.4,1567820769
Atasu,48.68,71.64,KZ,100,83,48.95,14.25,1567820769
Concordia Sagittaria,45.76,12.85,IT,0,93,62.01,6.93,1567820769
Banjar,-7.37,108.54,ID,66,56,81.38,5.55,1567820769
Murray Bridge,-35.12,139.28,AU,94,62,55.0,14.0,1567820770
Belmonte,40.36,-7.35,PT,0,44,60.01,8.66,1567820770
Vaitape,-16.52,-151.75,PF,3,72,75.08,21.07,1567820770
Abha,18.22,42.5,SA,0,32,71.6,3.22,1567820770
Haines Junction,60.75,-137.51,CA,1,49,54.99,3.38,1567820770
La Plata,-34.92,-57.95,AR,90,87,57.99,9.17,1567820771
Annau,37.89,58.52,TM,0,45,64.4,9.17,1567820771
Moranbah,-22.0,148.04,AU,100,22,80.55,6.96,1567820771
Soyo,-6.13,12.37,AO,66,87,73.21,7.4,1567820771
Port Shepstone,-30.74,30.45,ZA,0,92,49.4,7.45,1567820771
Gayny,60.3,54.33,RU,0,90,47.81,3.36,1567820771
Nitra,48.31,18.09,SK,99,82,64.99,6.93,1567820772
Nicoya,10.15,-85.45,CR,75,94,77.0,4.7,1567820772
Botucatu,-22.89,-48.44,BR,55,90,58.79,6.8,1567820772
Nagornskiy,58.77,57.55,RU,0,99,39.99,0.83,1567820772
Dafeng,33.2,120.46,CN,0,71,78.88,12.88,1567820772
Gualeguay,-33.15,-59.31,AR,99,96,50.12,3.96,1567820773
Cascais,38.7,-9.42,PT,0,37,72.0,4.7,1567820773
Eyl,7.98,49.82,SO,63,69,74.6,29.91,1567820773
Neuquen,-38.95,-68.06,AR,90,87,42.8,2.24,1567820773
Alto Araguaia,-17.32,-53.22,BR,34,20,71.97,3.53,1567820773
Harper,30.3,-99.24,US,1,45,89.6,10.6,1567820774
Vrangel,42.73,133.08,RU,100,97,70.2,2.64,1567820774
Prince George,53.92,-122.75,CA,100,65,70.0,0.92,1567820501
Zhezkazgan,47.8,67.71,KZ,20,93,44.6,8.95,1567820774
Port Lincoln,-34.72,135.86,AU,100,70,54.11,18.84,1567820775
College,64.86,-147.8,US,1,42,64.99,3.36,1567820775
Ozinki,51.2,49.73,RU,100,60,60.09,6.13,1567820775
Kamaishi,39.28,141.86,JP,75,83,78.8,2.24,1567820775
Nadym,65.53,72.51,RU,13,71,56.9,9.93,1567820775
